point,anomaly,damages
0,0.1666916486156512,24.264707549385783
1,0.24984681967769007,36.959436223346806
2,0.3330019907397289,50.04698288470165
3,0.41615716180176776,63.52734753345031
4,0.4993123328638066,77.40053016959278
5,0.5824675039258455,91.66653079312907
6,0.6656226749878844,106.3253494040592
7,0.7487778460499233,121.37698600238312
8,0.8319330171119621,136.82144058810087
9,0.915088188174001,152.65871316121243
10,0.9982433592360398,168.88880372171784
11,1.0813985302980786,185.51171226961702
12,1.1645537013601175,202.52743880491005
13,1.2477088724221563,219.9359833275969
14,1.3308640434841952,237.73734583767754
15,1.414019214546234,255.931526335152
16,1.4971743856082729,274.5185248200203
17,1.5803295566703117,293.49834129228236
18,1.6634847277323506,312.8709757519383
19,1.7466398987943894,332.6364281989881
20,1.8297950698564283,352.7946986334316
21,1.912950240918467,373.345787055269
22,1.996105411980506,394.28969346450026
23,2.079260583042545,415.62641786112533
24,2.162415754104584,437.3559602451441
25,2.2455709251666227,459.47832061655674
26,2.3287260962286616,481.9934989753632
27,2.4118812672907004,504.9014953215635
28,2.4950364383527392,528.2023096551576
29,2.578191609414778,551.8959419761455
30,2.661346780476817,575.9823922845274
31,2.744501951538856,600.4616605803028
32,2.8276571226008946,625.3337468634722
33,2.9108122936629335,650.5986511340354
34,2.9939674647249723,676.2563733919925
35,3.077122635787011,702.3069136373433
36,3.16027780684905,728.750271870088
37,3.243432977911089,755.5864480902264
38,3.3265881489731277,782.8154422977586
39,3.4097433200351666,810.4372544926848
40,3.4928984910972054,838.4518846750047
41,3.5760536621592443,866.8593328447184
42,3.659208833221283,895.6595990018261
43,3.742364004283322,924.8526831463273
44,3.825519175345361,954.4385852782225
45,3.9086743464073996,984.4173053975115
46,3.9918295174694385,1014.7888435041943
47,4.074984688531478,1045.5531995982712
48,4.158139859593517,1076.7103736797417
49,4.2412950306555555,1108.260365748606
